id,years_worked,victime_race,count_arrests,officer_race,officer_rank,count_allegations
33678,,,2,Black,,2
33679,,,2,White,,2
33680,,,1,Black,,1
33047,51,,11,Unknown,,11
14224,48,Black,4,White,Lieutenant,4
14224,48,,11,White,Lieutenant,11
1033,47,,38,White,Detective,39
17415,47,,25,White,Sergeant,25
28954,47,,2,White,Police Officer,2
28954,47,Black,1,White,Police Officer,1
28954,47,,42,White,Police Officer,42
3527,46,,8,White,Police Officer,8
13303,46,Black,6,White,Commander,6
13303,46,Hispanic,2,White,Commander,2
13303,46,,82,White,Commander,82
15021,46,,7,White,Sergeant,8
23890,46,,2,White,Police Officer,2
23890,46,Black,1,White,Police Officer,1
23890,46,,36,White,Police Officer,36
14781,45,Black,3,White,Police Officer,3
14781,45,Hispanic,1,White,Police Officer,1
14781,45,,14,White,Police Officer,14
5458,44,,2,White,Police Officer,2
5923,44,,6,White,Sergeant,6
13036,44,,13,White,Sergeant,13
298,43,,2,White,Police Officer,2
3476,43,Black,2,Black,Police Officer,2
3476,43,Hispanic,1,Black,Police Officer,1
3476,43,,18,Black,Police Officer,18
3554,43,,4,White,Detective,4
3707,43,,4,White,Police Officer,4
7393,43,,2,White,Police Officer,2
7393,43,Hispanic,2,White,Police Officer,2
7393,43,,2,White,Police Officer,2
8238,43,,5,White,Sergeant,5
13546,43,Black,2,White,Police Officer,2
13546,43,,3,White,Police Officer,3
15274,43,Hispanic,2,White,Police Officer,2
19584,43,Black,2,White,Detective,2
19584,43,Hispanic,3,White,Detective,3
19584,43,,26,White,Detective,26
20210,43,,1,White,Police Officer,1
20210,43,Black,2,White,Police Officer,2
20210,43,White,2,White,Police Officer,2
20210,43,,3,White,Police Officer,3
22802,43,,3,White,Police Officer,3
23234,43,Black,1,White,Police Officer,1
23234,43,,12,White,Police Officer,12
26355,43,,15,White,Sergeant,15
26544,43,,2,White,Detective,2
26721,43,,11,White,Police Officer,11
30555,43,Hispanic,2,White,Police Officer,2
30555,43,,7,White,Police Officer,7
20,42,White,2,White,Sergeant,2
20,42,,3,White,Sergeant,3
898,42,,1,White,Police Officer,1
1778,42,Black,1,White,Police Officer,1
1778,42,,18,White,Police Officer,18
2632,42,White,2,White,Police Officer,2
3416,42,,16,White,Police Officer,16
3962,42,,2,White,Police Officer,2
4653,42,,2,White,Police Officer,2
4777,42,,1,White,Lieutenant,1
5119,42,,1,White,Police Officer,1
5590,42,Black,4,White,Police Officer,4
5590,42,White,2,White,Police Officer,2
5590,42,,12,White,Police Officer,12
6827,42,Black,2,White,Commander,2
6827,42,,4,White,Commander,4
7200,42,Black,2,White,Police Officer,2
7200,42,,7,White,Police Officer,7
8274,42,Black,6,White,Captain,6
8274,42,Hispanic,2,White,Captain,2
8274,42,White,2,White,Captain,2
8274,42,,43,White,Captain,43
8347,42,,2,White,Police Officer,2
8613,42,,2,White,Sergeant,2
9100,42,,2,White,Lieutenant,2
9100,42,Black,2,White,Lieutenant,2
9100,42,,55,White,Lieutenant,55
9253,42,Black,1,White,Police Officer,1
9253,42,,3,White,Police Officer,3
10653,42,Black,2,White,Police Officer,2
10653,42,,12,White,Police Officer,12
12541,42,,2,White,Police Officer,2
13062,42,Black,2,Black,Sergeant,2
13062,42,,2,Black,Sergeant,2
13320,42,,6,White,Sergeant,6
13749,42,,2,White,Police Officer,2
14223,42,Black,2,White,Detective,2
14223,42,,5,White,Detective,5
14264,42,Black,1,White,Sergeant,1
14264,42,,12,White,Sergeant,12
15225,42,,3,White,Lieutenant,3
15635,42,,4,White,Detective,4
15738,42,,5,White,Detective,5
15874,42,Black,2,White,Police Officer,2
15874,42,,33,White,Police Officer,33
15952,42,,5,White,Sergeant,5
16295,42,,1,White,Police Officer,1
16295,42,Black,2,White,Police Officer,2
16295,42,,6,White,Police Officer,6
17786,42,,8,White,Captain,8
17798,42,Black,1,White,Police Officer,1
21058,42,,10,White,Sergeant,10
21554,42,,14,White,Police Officer,14
22873,42,,2,White,Detective,2
22873,42,Black,2,White,Detective,2
22873,42,White,2,White,Detective,2
22873,42,,9,White,Detective,9
24022,42,,2,White,Detective,2
